;;;;;
Administration: 970 - NOUVELLE POLYCLINIQUE DU BORINAGE;;;;;
Date: 22 mars 2013 par Michel Ponchon;;;;;
 Bilan / Compte de résultat   ;;;;;
;;;;;
    ;;;;;
Options visuelles;;;;;
Bilan: Type;Bilan / Compte de résultats;Afficher;Les deux;Niveau;Compte
Exercice;2012;Période;1 - 1;Non traité;v
Comparer avec;;;;;
;;;;;
;2012;;;;
;Nouveau solde (Débit);Nouveau solde (Crédit);;;
Bilan;;;;;
100000 - Fonds associatif;;21.510,71;;;
140000 - Résultat reporté;;33.697,04;;;
140200 - BENEFICE REPORTE 2011;;6.163,67
165490 - Prov. pour autres risques et charges;;25.000,00
172110 - Leasing Global concept;;2.105,40
172120 - dette leasing Xerox;;12.807,16
174000 - Aut.emp-Num Dexia 78000;;65.160,60
179910 - Avance permanente LT Immobilière du 10 de grisoeul;;68.047,32
211000 - Brevet Licence;4.427,67;
211009 - Amort Brevet Licence;;4.427,67
230011 - Installation technique;4.721,74;
230019 - Amort Installation Technique;;4.721,74
230200 - Informatisation Dossier;6.534,00;
230209 - Amort Informatisation Dossiers;;2.178,00
231000 - Machines;29.205,74;
231009 - Amort. et réd. val. sur machines;;28.842,91
231030 - Sonde Radiographie;4.325,00;
231039 - Amort Sonde Radio;;4.325,00
231110 - Matériel Optique;13.986,39;
231119 - Amort Materiel Optique;;13.986,39
231200 - Mat Radio Tube;127.552,09;
231209 - Amort Mat radio Tube;;127.228,94
231210 - Mat Optique Fibroscope;5.786,95;
231219 - Amlort Fibroscope Machida;;5.786,95
231220 - Fauteuil ORL;6.605,30;
231229 - Amort Fauteuil ORL;;5.560,41
231230 - Mat Dentisterie;58.182,87;
231239 - Amort Mat Dentisterie;;44.862,87
231240 - MATERIEL DE CARDIOLOGIE;7.894,80;
231249 - materiel DE cardio;;7.565,50
231250 - Matériel gynécologie;9.000,00;
231259 - amorissement mat gyneco;;1.800,00
232010 - Matériel Informatique;17.986,03;
232019 - Amort Matériel Informatique;;16.265,29
232020 - Imprimante Xerox;18.400,00;
232029 - Amortissement Xerox;;3.680,00
232100 - Matériel de classement Armoire;3.753,07;
232109 - Amort Mat classement;;2.723,68
233000 - Matériel Optique;1.729,21;
233009 - Amort Matériel Optique;;1.729,21
234000 - Matériel Dermato;556,60;
234009 - Amort Mat dermato;;556,60
235010 - Echo doppler + 2 sondes -Radio;48.280,00;
235019 - Amort Mat Echo + 2 sondes Radio;;41.382,85
236010 - Matériel de Kiné;3.037,00;
236019 - Amort Mat kiné;;3.037,00
237000 - MATERIEL PNEUMOLOGIE CABINE ++;24.777,00;
237009 - AMORT CAB PNEUMO;;12.388,50
237110 - MATERIEL DE NETTOYAGE;740,00;
237119 - AMORT MAT DE NETTOYAGE;;740,00
238000 - Aménagements intérieurs;14.457,02;
238009 - Amort. et réd. val. sur aménagements intérieurs;;5.408,20
239000 - MATERIEL DE GYNECOLOGIE;1.500,18;
239009 - AMORT MATERIEL GYNECO;;1.500,18
239010 - Mammographie;7.260,00;
239019 - Amort mammographie;;1.452,00
239020 - GE Osteodensitomètre;27.588,00;
239029 - Amort GE Osteodensitomètre;;8.276,40
239030 - Numerisation Radiographie;104.929,60;
240000 - Mobilier;1.630,73;
240009 - Amort. et réd. val. sur mobilier;;1.367,78
251000 - Installations en leasing;10.527,00;
251009 - Amort. et réd. val. sur installations. en leas;;6.842,55
269999 - AMORTISSEMENT PRECISIONEL;;5.000,00
288101 - Caution SWDE;371,84;
288301 - Provision ONSS;2.547,00;
400000 - Clients;92.837,03;
